"","TCONS_00323031","TCONS_00329506","TCONS_00330483","TCONS_00329507","TCONS_00330192","TCONS_00330356","TCONS_00339257","TCONS_00334938","TCONS_00336968","TCONS_00340588","TCONS_00340698","TCONS_00340767"
"1888509",50.966469,0,0,0,0,0,0,0,0,0,0,0
"1888583",8.718805,0,0,0,0,0,0,0,0,0,0,0
"1888785",65.6511,0,0,0,0,0,0,0,0,0,0,0
"1891579",1.291934,0,0,0,0,0,0,0,0,0,0,0
"1892992",91.287239,0,0,0,0,0,0,0,0,0,0,0
"1895693",11.913197,0,1.579475,0,0,0,0,0,0,0,0,0
"1898529",21.310259,0,0,0,0,0,0,0,0,0,0,0
"1898716",0.646777,0,0,0,0,0,0,0,0,0,0,0
"1899150",4.06268,0,0,0,0,0,0,0,0,0,0,0
"1902138",9.652205,0,0,0,0,0,0,0,0,0,0,0
"1905293",25.655466,2.882139,0,0,0,0,0,0,0,0,0,0
"1920593",3.331849,3.466561,0,2.212852,0,0,0,0,0,0,0,0
"1938654",0.238541,0,0,0,0,0,0,0,0,0,0,0
"1944993",2.477966,0,0,0,0,0,0,0,0,0,0,0
"1948136",0.278049,0,0,0,0,0,0,0,0,0,0,0
"1950065",0.076031,0,0,0,0,0,0,0,0,0,0,0
"1953879",0.653051,1.351481,0,0,0,0,0,0,0,0,0,0
"1957603",2.994353,0,0,0,0,0,0,0,0,0,0,0
"1959558",2.147883,0,0,0,0,0,0,0,0,0,0,0
"1963066",5.108857,9.718875,0,2.869502,0,0,0,0,0,0,0,0
"1963567",5.110376,0,0,0,0,0,0,0,0,0,0,0
"1964171",0.871166,0,1.324201,0,0,0,0,0,0,0,0,0
"1972595",2.273845,0,0,0,0,0,0,0,0,0,0,0
"1974923",13.696507,1.782817,0,0,0,0,0,0,0,0,0,0
"1986080",32.675785,0,0,3.904955,0,0,0,0,0,0,0,0
"1986877",3.38233,0,0,0,0,0,0,0,0,0,0,0
"1987334",3.300829,0,0,0,0,0,0,0,0,0,0,0
"1989568",0.89166,0,0,0,0,0,0,0,0,0,0,0
"1999023",1.986134,0,0,0,0,0,0,0,0,0,0,0
"2010783",0.243004,0,0,0,0,0,0,0,0,0,0,0
"2011318",39.429012,0,0,0,0,0,0,0,0,0,0,0
"2013992",4.734278,0,0,0,0,0,0,0,0,0,0,0
"2014493",43.038376,0,0,0,0,0,0,0,0,0,0,0
"2020120",6.790184,13.6078,0,0,0,0,0,0,0,0,0,0
"2021090",0.878151,0,0,0,0,0,0,0,0,0,0,0
"2025434",7.661942,0,0,0,0,0,0,0,0,0,0,0
"2037255",12.935468,0,4.960232,11.208085,0,0,0,0,0,0,0,0
"2040752",12.979126,0,0,0,0,0,0,0,0,0,0,0
"2043424",0,0,0,0,2.874931,0,0,0,0,0,0,0
"2044850",4.039146,0,0,0,0,0,0,0,0,0,0,0
"2048456",0.731711,0,0,0,0,0,0,0,0,0,0,0
"437011",30.952423,0,0,0,0,0,0,0,0,0,0,0
"497777",5.553814,0,0,0,0,0,0,0,0,0,0,0
"664429",396.07431,0,0,0,0,0,0,0,0,0,0,0
"671270",13.680768,0,0,0,0,0,0,0,0,0,0,0
"689710",79.334763,0,0,0,0,0,0,0,0,0,0,0
"723043",4.722871,0,0,0,0,0,0,0,0,0,0,0
"729926",8.49779,0,1.62798,0,0,0,0,0,1.652644,0,0,0
"731714",403.154266,0,0,0,0,0,0,0,0,0,0,0
"874815",40.160263,0,0,0,0,0,0,0,0,0,0,0
"880729",12.23084,0,0,11.978612,0,0,0,0,0,0,0,0
"895996",27.335411,0,0,2.870617,0,0,0,0,0,0,0,0
"927680",498.124939,0,0,0,0,0,0,0,0,0,0,0
"994864",8.454747,1.152923,0,0,0,0,0,0,0,0,0,0
"1007251",15.825296,0,0,0,0,1.760901,0,0,0,0,0,0
"1007621",9.670395,0,0,0,0,0,0,0,0,0,0,0
"1355705",15.022551,0,0,0,0,0,0,0,0,0,0,0
"1383639",1.499996,0,0,0,0,0,0,0,0,0,0,0
"1397786",36.055473,0,0,0,0,0,0,0,0,0,0,0
"1433129",548.741516,0,0,0,0,0,0,0,0,0,0,0
"1446368",18.927181,0,0,0,0,0,0,0,0,0,0,0
"1484174",297.008514,0,0,0,0,0,0,0,0,0,0,0
"1497970",9.485675,0,0,0,0,0,0,0,0,0,0,0
"1530096",0.815445,0,0,0,0,0,0,0,0,0,0,0
"1545261",45.480846,6.231662,0,0,0,0,0,0,0,0,0,0
"1575980",0.702367,0,0,0,0,0,0,0,0,0,0,0
"1617192",65.491692,0,0,0,0,0,0,0,0,0,0,0
"1645099",1.491838,0,0,0,0,0,0,0,0,0,0,0
"1792422",2.486089,0,0,0,0,0,0,0,0,0,0,0
"1820732",1.678642,0,0,0,0,0,0,0,0,0,0,0
"1846023",1.727773,0,0,0,0,0,0,0,0,0,0,0
"1846337",218.184738,0,0,0,0,0,0,0,0,0,0,0
"1846752",22.127508,0,0,0,0,0,0,0,0,0,0,0
"1861843",10.331726,0,0,0,0,0,0,0,0,0,0,0
"1870338",16.652081,0,0,2.087877,0,0,0,0,0,0,0,0
"1871065",134.866852,0,0,0,0,0,0,0,0,0,0,0
"1871670",4.715549,0,0,0,0,0,0,0,0,0,0,0
"1872034",16.535942,0,0,0,0,0,0,0,0,0,0,0
"1878924",6.091537,0,0,0,0,0,0,0,0,0,0,0
"1879180",2.190506,0,0,0,0,0,0,0,0,0,0,0
"1885913",100.621155,0,0,0,0,0,0,0,0,0,0,0
"1895446",1.060938,0,0,0,0,0,0,0,0,0,0,0
"1898111",1.734999,0,0,0,0,0,0,0,0,0,0,0
"1911552",29.188416,0,3.713279,0,0,0,0,0,0,0,0,0
"1920747",1.726597,0,0,0,0,0,0,0,0,0,0,0
"1935284",18.845436,0,0,0,0,0,0,0,0,0,0,0
"1944048",204.790588,0,0,0,0,0,0,0,0,0,0,0
"1976926",6.283555,0,0,0,0,0,0,0,0,0,0,0
"1990488",2.374574,0,0,0,0,0,0,0,0,0,0,0
"1996723",6.801279,0,0,0,0,0,0,0,0,0,0,0
"2016388",3.946394,0,0,0,0,0,0,0,0,0,0,0
"2039157",4.967135,0,0,0,0,0,0,0,0,0,0,0
"467313",10.931737,0,0,0,0,0,0,0,0,0,0,0
"483692",1.619545,0,0,3.727991,0,1.531613,0,0,0,0,0,0
"514143",26.528097,0,2.706097,0,0,0,0,0,0,0,0,0
"674051",8.618682,0,1.04888,0,0,0,0,0,0,0,0,0
"681790",6.282846,0,2.145243,9.307768,4.898468,0,0,0,0,0,0,0
"683943",15.014373,0,0,19.645468,0,0,0,0,0,0,0,0
"695412",15.573639,2.855176,0,0,0,0,0,0,0,0,0,0
"720571",35.743221,0,0,0,0,0,0,0,0,0,0,0
"725977",36.52372,0,0,0,0,0,0,0,0,0,0,0
"737029",3.778225,0,0,4.127304,0,0.816374,0,0,0,0,0,0
"757493",6.293035,0,1.08443,0,0,0,0,0,0,0,0,0
"774690",6.508843,0,2.487071,6.832607,1.197986,0,0,0,0,0,0,0
"777803",2.063153,0,0,2.372433,0,4.845826,0,0,0,0,0,0
"792806",0.82912,1.898818,0,0,0,0,0,0,0,0,0,0
"825900",1.455308,0,1.044952,0,0,0,0,0,0,0,0,0
"832750",10.234061,1.599698,0,0,0,0,0,0,0,0,0,0
"836819",3.52235,0,0,6.370601,0,0,0,0,0,0,0,0
"841393",0.453958,0,0,0,0,0,0,0,0,0,0,0
"888888",1.27447,0,0,0,0,0,0,0,0,0,0,0
"903242",0.578732,0,0,0,0,0,0,0,0,0,0,0
"910774",7.235959,0,0,0,0,0,0,0,0,0,0,0
"942269",9.922816,11.290434,0,4.892837,0,0,0,0,0,0,0,0
"967759",24.602024,0,0,0,0,0,0,0,0,0,0,0
"979084",72.559196,0,0,0,0,0,0,0,0,0,0,0
