"","ensembl_gene_id","ref.x","rpt.x","fc.x","ref.y","rpt.y","fc.y"
"73","ENSG00000241878",187,2415,12.9144385026738,423,2151,5.08510638297872
"74","ENSG00000242588",217,2528,11.6497695852535,568,5915,10.4137323943662
"75","ENSG00000257103",668,4899,7.33383233532934,1200,6212,5.17666666666667
"76","ENSG00000257529",177,2167,12.2429378531073,103,2987,29
"77","ENSG00000259753",920,150874,163.99347826087,2403,190195,79.1489804411153
"78","ENSG00000270106",203,1145,5.64039408866995,194,1102,5.68041237113402
"79","ENSG00000278047",24864,4206600,169.184362934363,50023,7409150,148.114867161106
"80","ENSG00000278996",191,3635152,19032.2094240838,101,7078667,70085.8118811881
"81","ENSG00000280441",191,257923,1350.38219895288,101,65087,644.425742574257
"82","ENSG00000282278",310,19025,61.3709677419355,423,28061,66.338061465721
